District,Crop,Season,Start_Year,Area_Hectare,Production,Yield,Previous_Yield,NDVI_Mean,NDVI_Max,NDVI_Min,Weather_Months_Available,Temperature_C,TMin_C,TMax_C,Precipitation_mm_day,WindSpeed_m_s,Humidity_pct,RootSoilWetness,SurfaceSoilWetness,Irradiance_kWh_m2_day,NDVI_Mean_was_imputed,NDVI_Max_was_imputed,NDVI_Min_was_imputed,Weather_Confidence
Ratnagiri,Gram,Rabi,2020,66.66,61.1,0.92,,0.5236882732264142,0.6379384414536663,0.4183667908090941,5,27.462110906298005,25.053883410138248,30.37455698924731,0.1617440860215053,3.4024546850998463,68.07887496159753,0.534621351766513,0.4899219662058371,19.265515514592938,False,False,False,medium
Ratnagiri,Gram,Rabi,2021,24.9,22.88,0.92,0.92,0.5355361921351104,0.6397837371706513,0.4476648344014651,5,26.538013364055296,24.47094746543779,29.08565130568356,1.3377961597542245,3.2606253456221195,70.75663763440859,0.5526247311827958,0.534205222734255,18.653932565284176,False,False,False,medium
Ratnagiri,Groundnut,Kharif,2020,11.0,10.3,0.94,,0.4009920640763048,0.6356003227814048,0.2429167809553046,5,27.713675268817205,27.09429247311828,28.42327096774193,15.669382795698922,4.348838709677419,85.35770537634407,0.91867311827957,0.8881376344086022,14.553421505376344,True,False,True,medium
Ratnagiri,Groundnut,Kharif,2021,11.0,9.6,0.87,0.94,0.4009920640763048,0.649596034757033,0.2429167809553046,5,27.7093311827957,26.968845161290325,28.546987096774195,12.38374623655914,4.296866666666667,83.91389032258066,0.8781569892473119,0.8563698924731182,15.439724731182796,True,False,True,medium
Ratnagiri,Groundnut,Kharif,2022,11.0,10.1,0.92,0.87,0.4009920640763048,0.7257634755995672,0.2429167809553046,5,27.38471827956989,26.585967741935484,28.281593548387093,11.39762365591398,4.633258064516129,83.93991182795699,0.8444494623655914,0.8220602150537634,15.473526881720431,True,False,True,medium
Ratnagiri,Groundnut,Summer,2020,59.0,88.0,1.49,,0.4256335010060319,0.4446990183759553,0.4065679836361085,2,29.826155913978496,28.08090322580645,32.30422580645161,0.6654892473118279,4.077349462365591,72.23805913978495,0.3708064516129032,0.2680376344086022,24.34478494623656,False,False,False,low
Ratnagiri,Groundnut,Summer,2021,59.0,96.29,1.63,1.49,0.4186081643122462,0.437526569023053,0.3996897596014395,2,29.79989247311828,28.272978494623658,31.86162365591398,5.02539247311828,3.739086021505377,71.63345161290323,0.4239784946236559,0.3660322580645161,22.34386559139785,False,False,False,low
Ratnagiri,Groundnut,Summer,2022,32.0,75.0,2.34,1.63,0.4286504442701104,0.4361907258677927,0.4211101626724281,2,29.770913978494622,28.279026881720437,31.95051612903226,0.8518709677419354,3.5803978494623654,72.34541397849463,0.3754946236559139,0.2953548387096774,21.46997311827957,False,False,False,low
Ratnagiri,Jowar,Summer,2021,2.0,1.66,0.83,,0.4186081643122462,0.437526569023053,0.3996897596014395,2,29.79989247311828,28.272978494623658,31.86162365591398,5.02539247311828,3.739086021505377,71.63345161290323,0.4239784946236559,0.3660322580645161,22.34386559139785,False,False,False,low
Ratnagiri,Maize,Rabi,2020,9.7,26.64,2.75,,0.5236882732264142,0.6379384414536663,0.4183667908090941,5,27.462110906298005,25.053883410138248,30.37455698924731,0.1617440860215053,3.4024546850998463,68.07887496159753,0.534621351766513,0.4899219662058371,19.265515514592938,False,False,False,medium
Ratnagiri,Maize,Rabi,2021,35.4,87.21,2.46,2.75,0.5355361921351104,0.6397837371706513,0.4476648344014651,5,26.538013364055296,24.47094746543779,29.08565130568356,1.3377961597542245,3.2606253456221195,70.75663763440859,0.5526247311827958,0.534205222734255,18.653932565284176,False,False,False,medium
Ratnagiri,Maize,Rabi,2022,34.5,94.83,2.75,2.46,0.5369173892931727,0.6548492289791329,0.4115655653589991,5,27.011949615975418,24.139041321044548,30.512329032258062,0.0739454685099846,3.628613824884793,65.86196666666666,0.4493860215053763,0.3686104454685101,19.582847311827955,False,False,False,medium
Ratnagiri,Moong(Green Gram),Kharif,2020,11.45,4.16,0.36,,0.4114655664617643,0.6356003227814048,0.241067837336053,5,27.713675268817205,27.09429247311828,28.42327096774193,15.669382795698922,4.348838709677419,85.35770537634407,0.91867311827957,0.8881376344086022,14.553421505376344,True,False,True,medium
